"","Open","High","Low","Close","TR"
"127",275.26,276.81,275.23,276.73,c(High = 2.28000000000003)
"128",276.73,277.59,276.58,277.56,c(High = 1.00999999999999)
"129",277.56,277.98,277.38,277.63,c(High = 0.600000000000023)
"130",277.61,278.14,277.61,278.11,c(High = 0.529999999999973)
"131",278.12,278.25,277.95,278.1,c(High = 0.300000000000011)
"132",278.09,278.52,277.98,278.28,c(High = 0.539999999999964)
"133",278.27,278.62,278.26,278.5,c(High = 0.360000000000014)
"134",279.06,279.62,278.85,279.62,c(High = 1.12)
"135",279.61,280,279.19,279.35,c(High = 0.810000000000002)
"136",279.35,279.99,279.24,279.76,c(High = 0.75)
"137",279.76,279.79,279.43,279.68,c(High = 0.360000000000014)
"138",279.68,280.07,279.52,279.66,c(High = 0.550000000000011)
"139",279.66,279.81,278.99,279.4,c(High = 0.819999999999993)
"140",279.38,279.76,279.12,279.47,c(High = 0.639999999999986)
"141",280.48,281.15,280.3,280.87,c(High = 1.67999999999995)
"142",280.87,281.99,280.87,281.98,c(High = 1.12)
"143",281.98,282.1,281.49,281.64,c(High = 0.610000000000014)
"144",281.63,282.02,281.49,281.91,c(High = 0.529999999999973)
"145",281.9,282.38,281.7,282.08,c(High = 0.680000000000007)
"146",282.08,282.08,281.11,281.33,c(High = 0.96999999999997)
"147",281.33,281.74,281.18,281.33,c(High = 0.560000000000002)
"148",281.37,281.55,280.67,281.08,c(High = 0.879999999999995)
"149",281.07,281.58,280.98,281.28,c(High = 0.599999999999966)
"150",281.28,281.84,281.21,281.43,c(High = 0.629999999999995)
"151",281.43,281.62,281.22,281.31,c(High = 0.399999999999977)
"152",281.32,281.41,280.94,281.18,c(High = 0.470000000000027)
"153",281.18,281.35,280.88,281.27,c(High = 0.470000000000027)
"154",281.27,281.5,281.1,281.19,c(High = 0.399999999999977)
"155",280.54,281.1,280.33,280.79,c(Close = 0.860000000000014)
"156",280.79,281.2,280.37,281.16,c(High = 0.829999999999984)
"157",281.16,281.95,280.96,281.81,c(High = 0.990000000000009)
"158",281.81,282.21,281.73,281.75,c(High = 0.479999999999961)
"159",281.75,281.94,281.33,281.45,c(High = 0.610000000000014)
"160",281.45,281.7,281.23,281.47,c(High = 0.46999999999997)
"161",281.47,281.49,280.91,281.35,c(High = 0.579999999999984)
"162",281.55,282.62,281.53,282.37,c(High = 1.26999999999998)
"163",282.37,282.66,281.5,281.67,c(High = 1.16000000000003)
"164",281.66,281.82,281.3,281.67,c(High = 0.519999999999982)
"165",281.67,282.03,281.47,281.92,c(High = 0.559999999999945)
"166",281.92,282.19,281.86,282.07,c(High = 0.329999999999984)
"167",282.06,282.29,281.84,281.94,c(High = 0.450000000000045)
"168",281.94,282.56,281.94,282.39,c(High = 0.620000000000005)
"169",283.51,283.79,283.15,283.28,c(High = 1.40000000000003)
"170",283.27,283.59,282.98,283.48,c(High = 0.609999999999957)
"171",283.48,284.36,283.38,283.99,c(High = 0.980000000000018)
"172",283.99,284.09,282.63,283.45,c(High = 1.45999999999998)
"173",283.45,283.61,282.74,283.12,c(High = 0.870000000000005)
"174",283.13,283.39,281.97,282.08,c(High = 1.41999999999996)
"175",282.09,282.51,281.41,282.48,c(High = 1.09999999999997)
"176",282.17,282.23,281.08,281.44,c(Close = 1.40000000000003)
"177",281.44,281.85,281.24,281.6,c(High = 0.610000000000014)
"178",281.59,281.68,280.65,281.15,c(High = 1.03000000000003)
"179",281.14,281.14,280.32,280.84,c(Close = 0.829999999999984)
"180",280.85,283.15,280.81,283.11,c(High = 2.33999999999997)
"181",283.11,283.5,282.46,282.59,c(High = 1.04000000000002)
"182",282.59,282.59,281.42,281.52,c(High = 1.16999999999996)
"183",280.63,282.72,280.59,282.61,c(High = 2.13000000000005)
"184",282.62,283.61,282.48,283.31,c(High = 1.13)
"185",283.31,284.25,283.18,283.46,c(High = 1.06999999999999)
"186",283.46,284.09,283.26,284.09,c(High = 0.829999999999984)
"187",284.09,284.8,283.77,284.78,c(High = 1.03000000000003)
"188",284.78,285.18,284.43,284.67,c(High = 0.75)
"189",284.67,285.12,284.47,284.67,c(High = 0.649999999999977)
"190",283.22,283.8,281.73,282.12,c(Close = 2.94)
"191",282.13,282.62,281.07,281.18,c(High = 1.55000000000001)
"192",281.17,281.43,279.6,279.95,c(High = 1.82999999999998)
"193",279.94,280.63,279.33,280.1,c(High = 1.30000000000001)
"194",280.1,281.1,279.65,280.85,c(High = 1.45000000000005)
"195",280.85,281.51,280.28,280.32,c(High = 1.23000000000002)
"196",280.31,280.35,279.18,279.25,c(High = 1.17000000000002)
"197",278.88,280.02,277.71,278.37,c(High = 2.31)
"198",278.36,280.19,278.25,280.12,c(High = 1.94)
"199",280.13,280.15,278.81,279.28,c(High = 1.33999999999997)
"200",279.28,279.42,278.31,278.77,c(High = 1.11000000000001)
"201",278.76,279.01,277.64,277.95,c(High = 1.37)
"202",277.95,279.45,277.94,279.21,c(High = 1.50999999999999)
"203",279.21,279.38,278.79,279.04,c(High = 0.589999999999975)
"204",280.99,282.04,280.97,281.68,c(High = 3)
"205",281.7,282.18,281.22,281.53,c(High = 0.95999999999998)
"206",281.53,281.87,280.65,280.73,c(High = 1.22000000000003)
"207",280.73,280.93,280.22,280.54,c(High = 0.70999999999998)
"208",280.55,280.57,279.73,279.78,c(High = 0.839999999999975)
"209",279.77,280.6,279.56,280.03,c(High = 1.04000000000002)
"210",280.02,281.09,279.86,281.03,c(High = 1.22999999999996)
"211",281.11,281.76,280.47,281.31,c(High = 1.28999999999996)
"212",281.31,281.47,278.86,278.9,c(High = 2.61000000000001)
"213",278.89,279.07,277.93,278.95,c(High = 1.13999999999999)
"214",278.96,279.87,278.67,279.73,c(High = 1.19999999999999)
"215",279.72,280.2,279.46,279.89,c(High = 0.740000000000009)
"216",279.88,280.16,279.41,279.6,c(High = 0.75)
