"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","daily.returns","tr","atr","trueHigh","ATRstop"
"1",2683.72998,2695.889893,2682.360107,2695.810059,3367250000,2695.810059,0.00450122742974313,NA,NA,NA,NA
"2",2697.850098,2714.370117,2697.77002,2713.060059,3538660000,2713.060059,0.00639881876781745,18.560058,NA,2714.370117,2695.810059
"3",2719.310059,2729.290039,2719.070068,2723.98999,3695260000,2723.98999,0.00402863584377444,16.2299800000001,NA,2729.290039,2713.060059
"4",2731.330078,2743.449951,2727.919922,2743.149902,3236620000,2743.149902,0.00703376740382233,19.459961,NA,2743.449951,2723.98999
"5",2742.669922,2748.51001,2737.600098,2747.709961,3242650000,2747.709961,0.00166234407994814,10.9099120000001,NA,2748.51001,2737.600098
"6",2751.149902,2759.139893,2747.860107,2751.290039,3453480000,2751.290039,0.00130293155056904,11.429932,15.3179686,2759.139893,2747.709961
"7",2745.550049,2750.800049,2736.060059,2748.22998,3576350000,2748.22998,-0.00111222697593605,15.2299800000001,15.30037088,2751.290039,2736.060059
"8",2752.969971,2767.560059,2752.780029,2767.560059,3641320000,2767.560059,0.00703364679836582,19.3300789999998,16.106312504,2767.560059,2748.22998
"9",2770.179932,2787.850098,2769.639893,2786.23999,3573970000,2786.23999,0.00674960275541392,20.290039,16.9430578032,2787.850098,2767.560059
"10",2798.959961,2807.540039,2768.639893,2776.419922,4325970000,2776.419922,-0.00352448749398648,38.9001459999999,21.33447544256,2807.540039,2768.639893
"11",2784.98999,2807.040039,2778.379883,2802.560059,3778050000,2802.560059,0.00941505166162671,30.6201169999999,23.191603754048,2807.040039,2776.419922
"12",2802.399902,2805.830078,2792.560059,2798.030029,3681470000,2798.030029,-0.00161638998081504,13.270019,21.2072868032384,2805.830078,2792.560059
"13",2802.600098,2810.330078,2798.080078,2810.300049,3639430000,2810.300049,0.00438523528083268,12.3000489999999,19.4258392425907,2810.330078,2798.030029
"14",2809.159912,2833.030029,2808.120117,2832.969971,3471780000,2832.969971,0.00806672654333362,24.9099120000001,20.5226537940726,2833.030029,2808.120117
"15",2835.050049,2842.23999,2830.590088,2839.129883,3519650000,2839.129883,0.00217436544088234,11.6499020000001,18.7481034352581,2842.23999,2830.590088
"16",2845.419922,2852.969971,2824.810059,2837.540039,4014070000,2837.540039,-0.000559975790300982,28.1599120000001,20.6304651482065,2852.969971,2824.810059
"17",2846.23999,2848.560059,2830.939941,2839.25,3835150000,2839.25,0.000602620923933372,17.6201179999998,20.0283957185652,2848.560059,2830.939941
"18",2847.47998,2872.870117,2846.179932,2872.870117,3443230000,2872.870117,0.0118411964427225,33.6201169999999,22.7467399748521,2872.870117,2839.25
"19",2867.22998,2870.620117,2851.47998,2853.530029,3573830000,2853.530029,-0.00673197437139827,21.3901369999999,22.4754193798817,2872.870117,2851.47998
"20",2832.73999,2837.75,2818.27002,2822.429932,3990650000,2822.429932,-0.0108988153914396,35.2600090000001,25.0323373039054,2853.530029,2818.27002
"21",2832.409912,2839.26001,2813.040039,2823.810059,4261280000,2823.810059,0.000488985389629049,26.219971,25.2698640431243,2839.26001,2813.040039
"22",2816.449951,2835.959961,2812.699951,2821.97998,3938450000,2821.97998,-0.000648088561823412,23.26001,24.8678932344994,2835.959961,2812.699951
"23",2808.919922,2808.919922,2759.969971,2762.129883,4301130000,2762.129883,-0.0212085476949415,62.0100090000001,32.2963163875996,2821.97998,2759.969971
"24",2741.060059,2763.389893,2638.169922,2648.939941,5283460000,2648.939941,-0.0409792250164074,125.219971,50.8810473100796,2763.389893,2638.169922
"25",2614.780029,2701.040039,2593.070068,2695.139893,5891660000,2695.139893,0.0174409209076136,107.969971,62.2988320480637,2701.040039,2593.070068
"26",2690.949951,2727.669922,2681.330078,2681.659912,4626570000,2681.659912,-0.00500158861327049,46.3398440000001,59.107034438451,2727.669922,2681.330078
"27",2685.01001,2685.27002,2580.560059,2581,5305440000,2581,-0.0375364197188327,104.709961,68.2276197507608,2685.27002,2580.560059
"28",2601.780029,2638.669922,2532.689941,2619.550049,5680070000,2619.550049,0.0149360902750872,105.979981,75.7780920006086,2638.669922,2532.689941
"29",2636.75,2672.610107,2622.449951,2656,4055790000,2656,0.0139145846875171,53.060058,71.2344852004869,2672.610107,2619.550049
"30",2646.27002,2668.840088,2637.080078,2662.939941,3472870000,2662.939941,0.00261292959337345,31.76001,63.3395901603895,2668.840088,2637.080078
"31",2651.209961,2702.100098,2648.870117,2698.629883,4003740000,2698.629883,0.0134024584822583,53.229981,61.3176683283116,2702.100098,2648.870117
"32",2713.459961,2731.51001,2689.820068,2731.199951,3684910000,2731.199951,0.0120691126282915,41.689942,57.3921230626493,2731.51001,2689.820068
"33",2727.139893,2754.419922,2725.110107,2732.219971,3637460000,2732.219971,0.000373469543900162,29.3098150000001,51.7756614501195,2754.419922,2725.110107
"34",2722.98999,2737.600098,2706.76001,2716.26001,3627610000,2716.26001,-0.00584138948159385,30.8400879999999,47.5885467600955,2737.600098,2706.76001
"35",2720.530029,2747.75,2701.290039,2701.330078,3779400000,2701.330078,-0.00549650326001005,46.459961,47.3628296080764,2747.75,2701.290039
"36",2710.419922,2731.26001,2697.77002,2703.959961,3701270000,2703.959961,0.000973551148531593,33.48999,44.5882616864612,2731.26001,2697.77002
"37",2715.800049,2747.76001,2713.73999,2747.300049,3189190000,2747.300049,0.0160283763905926,43.8000489999999,44.4306191491689,2747.76001,2703.959961
