"Index" "NKLA.Open" "NKLA.High" "NKLA.Low" "NKLA.Close" "NKLA.Volume" "NKLA.Adjusted"
"2019-12-04" 10.27 10.3 10.27 10.3 102700 10.3
"2019-12-05" 10.3 10.3 10.3 10.3 0 10.3
"2019-12-06" 10.285 10.3 10.285 10.3 1300 10.3
"2019-12-09" 10.3 10.3 10.3 10.3 0 10.3
"2019-12-10" 10.3 10.3 10.3 10.3 0 10.3
"2019-12-11" 10.28 10.28 10.27 10.27 2400 10.27
"2019-12-12" 10.3 10.3 10.3 10.3 4800 10.3
"2019-12-13" 10.3 10.3 10.3 10.3 0 10.3
"2019-12-16" 10.3 10.31 10.29 10.29 6000 10.29
"2019-12-17" 10.31 10.31 10.3 10.3 13800 10.3
"2019-12-18" 10.3 10.3 10.3 10.3 0 10.3
"2019-12-19" 10.3 10.3 10.3 10.3 1e+05 10.3
"2019-12-20" 10.32 10.32 10.32 10.32 4800 10.32
"2019-12-23" 10.31 10.32 10.31 10.32 131200 10.32
"2019-12-24" 10.32 10.32 10.32 10.32 0 10.32
"2019-12-26" 10.3 10.32 10.3 10.32 7800 10.32
"2019-12-27" 10.32 10.32 10.32 10.32 5100 10.32
"2019-12-30" 10.33 10.33 10.3 10.3 34600 10.3
"2019-12-31" 10.317 10.32 10.315 10.32 6500 10.32
"2020-01-02" 10.31 10.32 10.31 10.32 60300 10.32
"2020-01-03" 10.3 10.3 10.3 10.3 15000 10.3
"2020-01-06" 10.325 10.35 10.32 10.32 68700 10.32
"2020-01-07" 10.44 10.44 10.33 10.33 42900 10.33
"2020-01-08" NA NA NA NA NA NA
"2020-01-09" NA NA NA NA NA NA
"2020-01-10" NA NA NA NA NA NA
"2020-01-13" NA NA NA NA NA NA
"2020-01-14" NA NA NA NA NA NA
"2020-01-15" NA NA NA NA NA NA
"2020-01-16" NA NA NA NA NA NA
"2020-01-17" NA NA NA NA NA NA
"2020-01-21" NA NA NA NA NA NA
"2020-01-22" NA NA NA NA NA NA
"2020-01-23" NA NA NA NA NA NA
"2020-01-24" NA NA NA NA NA NA
"2020-01-27" NA NA NA NA NA NA
"2020-01-28" NA NA NA NA NA NA
"2020-01-29" NA NA NA NA NA NA
"2020-01-30" NA NA NA NA NA NA
"2020-01-31" NA NA NA NA NA NA
"2020-02-03" NA NA NA NA NA NA
"2020-02-04" NA NA NA NA NA NA
"2020-02-05" NA NA NA NA NA NA
"2020-02-06" NA NA NA NA NA NA
"2020-02-07" NA NA NA NA NA NA
"2020-02-10" NA NA NA NA NA NA
"2020-02-11" NA NA NA NA NA NA
"2020-02-12" NA NA NA NA NA NA
"2020-02-13" NA NA NA NA NA NA
"2020-02-14" NA NA NA NA NA NA
"2020-02-18" NA NA NA NA NA NA
"2020-02-19" NA NA NA NA NA NA
"2020-02-20" NA NA NA NA NA NA
"2020-02-21" NA NA NA NA NA NA
"2020-02-24" NA NA NA NA NA NA
"2020-02-25" NA NA NA NA NA NA
"2020-02-26" NA NA NA NA NA NA
"2020-02-27" NA NA NA NA NA NA
"2020-02-28" NA NA NA NA NA NA
"2020-03-02" NA NA NA NA NA NA
"2020-03-03" NA NA NA NA NA NA
"2020-03-04" NA NA NA NA NA NA
"2020-03-05" NA NA NA NA NA NA
"2020-03-06" NA NA NA NA NA NA
"2020-03-09" NA NA NA NA NA NA
"2020-03-10" NA NA NA NA NA NA
"2020-03-11" NA NA NA NA NA NA
"2020-03-12" NA NA NA NA NA NA
"2020-03-13" NA NA NA NA NA NA
"2020-03-16" NA NA NA NA NA NA
"2020-03-17" NA NA NA NA NA NA
"2020-03-18" NA NA NA NA NA NA
"2020-03-19" NA NA NA NA NA NA
"2020-03-20" NA NA NA NA NA NA
"2020-03-23" NA NA NA NA NA NA
"2020-03-24" NA NA NA NA NA NA
"2020-03-25" NA NA NA NA NA NA
"2020-03-26" NA NA NA NA NA NA
"2020-03-27" NA NA NA NA NA NA
"2020-03-30" NA NA NA NA NA NA
"2020-03-31" NA NA NA NA NA NA
"2020-04-01" NA NA NA NA NA NA
"2020-04-02" NA NA NA NA NA NA
"2020-04-03" NA NA NA NA NA NA
"2020-04-06" NA NA NA NA NA NA
"2020-04-07" NA NA NA NA NA NA
"2020-04-08" NA NA NA NA NA NA
"2020-04-09" NA NA NA NA NA NA
"2020-04-13" NA NA NA NA NA NA
"2020-04-14" NA NA NA NA NA NA
"2020-04-15" NA NA NA NA NA NA
"2020-04-16" NA NA NA NA NA NA
"2020-04-17" NA NA NA NA NA NA
"2020-04-20" NA NA NA NA NA NA
"2020-04-21" NA NA NA NA NA NA
"2020-04-22" NA NA NA NA NA NA
"2020-04-23" NA NA NA NA NA NA
"2020-04-24" NA NA NA NA NA NA
"2020-04-27" NA NA NA NA NA NA
"2020-04-28" NA NA NA NA NA NA
"2020-04-29" NA NA NA NA NA NA
"2020-04-30" NA NA NA NA NA NA
"2020-05-01" NA NA NA NA NA NA
"2020-05-04" NA NA NA NA NA NA
"2020-05-05" NA NA NA NA NA NA
"2020-05-06" NA NA NA NA NA NA
"2020-05-07" NA NA NA NA NA NA
"2020-05-08" NA NA NA NA NA NA
"2020-05-11" NA NA NA NA NA NA
"2020-05-12" NA NA NA NA NA NA
"2020-05-13" NA NA NA NA NA NA
"2020-05-14" NA NA NA NA NA NA
"2020-05-15" NA NA NA NA NA NA
"2020-05-18" NA NA NA NA NA NA
"2020-05-19" NA NA NA NA NA NA
"2020-05-20" NA NA NA NA NA NA
"2020-05-21" NA NA NA NA NA NA
"2020-05-22" NA NA NA NA NA NA
"2020-05-26" NA NA NA NA NA NA
"2020-05-27" NA NA NA NA NA NA
"2020-05-28" NA NA NA NA NA NA
"2020-05-29" NA NA NA NA NA NA
"2020-06-01" NA NA NA NA NA NA
"2020-06-02" NA NA NA NA NA NA
"2020-06-03" 33.689999 34.799999 30.08 33.970001 10732900 33.970001
"2020-06-04" 37.549999 38.880001 31.25 33.75 16566600 33.75
"2020-06-05" 35.650002 35.98 32.75 35.970001 8386800 35.970001
"2020-06-08" 42 73.699997 40.419998 73.269997 50028700 73.269997
"2020-06-09" 93.129997 93.989998 56.994999 79.730003 70812700 79.730003
"2020-06-10" 75.510002 77 64.949997 65.010002 25707200 65.010002
"2020-06-11" 55 68.989998 53 60.5 23799800 60.5
"2020-06-12" 67.440002 67.589996 61 64 11998600 64
"2020-06-15" 62.799999 69 59.209999 68.129997 17587900 68.129997
"2020-06-16" 71.529999 73.5 61.200001 62.93 21039200 62.93
"2020-06-17" 65.089996 68.980003 61.400002 64.059998 20873600 64.059998
"2020-06-18" 64.529999 67.989998 62.330002 67.730003 16722000 67.730003
"2020-06-19" 68.5 69.800003 64.589996 65.900002 12833100 65.900002
"2020-06-22" 64.010002 70 63.900002 70 17769200 70
"2020-06-23" 69.260002 75.709999 68.300003 75.059998 20805200 75.059998
"2020-06-24" 74.260002 76.300003 69.010002 74.190002 19044900 74.190002
"2020-06-25" 72.019997 74.720001 70.199997 71.099998 13303700 71.099998
"2020-06-26" 72.089996 73.649002 62.869999 63.549999 15326600 63.549999
"2020-06-29" 68.220001 71.919998 65.550003 67.57 14891700 67.57
"2020-06-30" 67.120003 70.830002 64.529999 67.529999 13665600 67.529999
"2020-07-01" 67.18 68.910004 64.874001 65.900002 9665400 65.900002
"2020-07-02" 64.269997 65.199997 55 57.189999 22635200 57.189999
"2020-07-06" 58.900002 59.029999 47.970001 48.919998 24095800 48.919998
"2020-07-07" 46.889999 47.389999 40.099998 40.23 26651000 40.23
